id,sentence,tokens,labels
935,Bị gan nhiễm mỡ ăn chuối nhiều kali có ổn không?,Bị gan_nhiễm_mỡ ăn chuối nhiều kali có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
936,Bị béo phì ăn chuối nhiều kali có ổn không?,Bị béo_phì ăn chuối nhiều kali có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
937,Bị tiểu đường ăn bông cải xanh nhiều kali có ổn không?,Bị tiểu_đường ăn bông_cải_xanh nhiều kali có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
938,Bị tiểu đường ăn khoai lang nhiều kali có ổn không?,Bị tiểu_đường ăn khoai_lang nhiều kali có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
939,Bị tiểu đường ăn chuối nhiều sắt có ổn không?,Bị tiểu_đường ăn chuối nhiều sắt có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
940,Bị tiểu đường ăn chuối nhiều protein có ổn không?,Bị tiểu_đường ăn chuối nhiều protein có ổn không ?,O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
941,Người bị tiểu đường mệt mỏi nên ăn cá hồi không?,Người bị tiểu_đường mệt_mỏi nên ăn cá_hồi không ?,O O B-DISEASE B-SYMPTOM O O B-FOOD O O
942,Người bị cholesterol cao mệt mỏi nên ăn cá hồi không?,Người bị cholesterol_cao mệt_mỏi nên ăn cá_hồi không ?,O O B-DISEASE B-SYMPTOM O O B-FOOD O O
943,Người bị tim mạch tiêu chảy nên ăn cá hồi không?,Người bị tim_mạch tiêu_chảy nên ăn cá_hồi không ?,O O B-DISEASE B-SYMPTOM O O B-FOOD O O
944,Người bị tim mạch chuột rút nên ăn cá hồi không?,Người bị tim_mạch chuột_rút nên ăn cá_hồi không ?,O O B-DISEASE B-SYMPTOM O O B-FOOD O O
945,Người bị tim mạch mệt mỏi nên ăn rau chân vịt không?,Người bị tim_mạch mệt_mỏi nên ăn rau_chân_vịt không ?,O O B-DISEASE B-SYMPTOM O O B-FOOD O O
946,Người bị tim mạch mệt mỏi nên ăn cá ba sa không?,Người bị tim_mạch mệt_mỏi nên ăn cá_ba_sa không ?,O O B-DISEASE B-SYMPTOM O O B-FOOD O O
947,Bị gout đau đầu nên ăn thực phẩm gì?,Bị gout đau_đầu nên ăn thực_phẩm gì ?,O B-DISEASE B-SYMPTOM O O O O O
948,Bị dạ dày đau đầu nên ăn thực phẩm gì?,Bị dạ_dày đau_đầu nên ăn thực_phẩm gì ?,O B-DISEASE B-SYMPTOM O O O O O
949,Bị huyết áp cao khó tiêu nên ăn thực phẩm gì?,Bị huyết_áp_cao khó_tiêu nên ăn thực_phẩm gì ?,O B-DISEASE B-SYMPTOM O O O O O
950,Bị huyết áp cao táo bón nên ăn thực phẩm gì?,Bị huyết_áp_cao táo_bón nên ăn thực_phẩm gì ?,O B-DISEASE B-SYMPTOM O O O O O
951,Hạt điều giàu sắt tốt cho người bị thiếu máu không?,hạt_điều giàu sắt tốt cho người bị thiếu_máu không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
952,Khoai lang giàu sắt tốt cho người bị thiếu máu không?,khoai_lang giàu sắt tốt cho người bị thiếu_máu không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
953,Rau muống giàu folate tốt cho người bị thiếu máu không?,Rau_muống giàu folate tốt cho người bị thiếu_máu không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
954,Rau muống giàu natri tốt cho người bị thiếu máu không?,Rau_muống giàu natri tốt cho người bị thiếu_máu không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
955,Rau muống giàu sắt tốt cho người bị loãng xương không?,Rau_muống giàu sắt tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
956,Rau muống giàu sắt tốt cho người bị dạ dày không?,Rau_muống giàu sắt tốt cho người bị dạ_dày không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
957,Người bị thiếu máu bị đau khớp nên tránh thịt heo không?,Người bị thiếu_máu bị đau_khớp nên tránh thịt_heo không ?,O O B-DISEASE O B-SYMPTOM O O B-FOOD O O
958,Người bị béo phì bị đau khớp nên tránh thịt heo không?,Người bị béo_phì bị đau_khớp nên tránh thịt_heo không ?,O O B-DISEASE O B-SYMPTOM O O B-FOOD O O
959,Người bị gout bị buồn nôn nên tránh thịt heo không?,Người bị gout bị buồn_nôn nên tránh thịt_heo không ?,O O B-DISEASE O B-SYMPTOM O O B-FOOD O O
960,Người bị gout bị táo bón nên tránh thịt heo không?,Người bị gout bị táo_bón nên tránh thịt_heo không ?,O O B-DISEASE O B-SYMPTOM O O B-FOOD O O
961,Người bị gout bị đau khớp nên tránh bơ không?,Người bị gout bị đau_khớp nên tránh bơ không ?,O O B-DISEASE O B-SYMPTOM O O B-FOOD O O
962,Người bị gout bị đau khớp nên tránh ức gà không?,Người bị gout bị đau_khớp nên tránh ức_gà không ?,O O B-DISEASE O B-SYMPTOM O O B-FOOD O O
963,Rau chân vịt giàu chất xơ có giúp người béo phì giảm cân không?,rau_chân_vịt giàu chất_xơ có giúp người béo_phì giảm_cân không ?,B-FOOD O B-NUTRIENT O O O B-DISEASE O O O
964,Thịt heo giàu chất xơ có giúp người béo phì giảm cân không?,thịt_heo giàu chất_xơ có giúp người béo_phì giảm_cân không ?,B-FOOD O B-NUTRIENT O O O B-DISEASE O O O
965,Yến mạch giàu natri có giúp người béo phì giảm cân không?,Yến_mạch giàu natri có giúp người béo_phì giảm_cân không ?,B-FOOD O B-NUTRIENT O O O B-DISEASE O O O
966,Yến mạch giàu vitamin B12 có giúp người béo phì giảm cân không?,Yến_mạch giàu vitamin_B12 có giúp người béo_phì giảm_cân không ?,B-FOOD O B-NUTRIENT O O O B-DISEASE O O O
967,Yến mạch giàu chất xơ có giúp người gout giảm cân không?,Yến_mạch giàu chất_xơ có giúp người gout giảm_cân không ?,B-FOOD O B-NUTRIENT O O O B-DISEASE O O O
968,Yến mạch giàu chất xơ có giúp người thiếu máu giảm cân không?,Yến_mạch giàu chất_xơ có giúp người thiếu_máu giảm_cân không ?,B-FOOD O B-NUTRIENT O O O B-DISEASE O O O
969,Bị cholesterol cao khó tiêu nên ăn đậu phụ không?,Bị cholesterol_cao khó_tiêu nên ăn đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
970,Bị huyết áp cao khó tiêu nên ăn đậu phụ không?,Bị huyết_áp_cao khó_tiêu nên ăn đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
971,Bị dạ dày ợ nóng nên ăn đậu phụ không?,Bị dạ_dày ợ_nóng nên ăn đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
972,Bị dạ dày đau cơ nên ăn đậu phụ không?,Bị dạ_dày đau_cơ nên ăn đậu_phụ không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
973,Bị dạ dày khó tiêu nên ăn óc chó không?,Bị dạ_dày khó_tiêu nên ăn óc_chó không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
974,Bị dạ dày khó tiêu nên ăn tôm không?,Bị dạ_dày khó_tiêu nên ăn tôm không ?,O B-DISEASE B-SYMPTOM O O B-FOOD O O
975,Người tiểu đường cần protein nhiều nên ăn ức gà không?,Người tiểu_đường cần protein nhiều nên ăn ức_gà không ?,O B-DISEASE O B-NUTRIENT O O O B-FOOD O O
976,Người dạ dày cần protein nhiều nên ăn ức gà không?,Người dạ_dày cần protein nhiều nên ăn ức_gà không ?,O B-DISEASE O B-NUTRIENT O O O B-FOOD O O
977,Người ung thư cần vitamin C nhiều nên ăn ức gà không?,Người ung_thư cần vitamin_C nhiều nên ăn ức_gà không ?,O B-DISEASE O B-NUTRIENT O O O B-FOOD O O
978,Người ung thư cần sắt nhiều nên ăn ức gà không?,Người ung_thư cần sắt nhiều nên ăn ức_gà không ?,O B-DISEASE O B-NUTRIENT O O O B-FOOD O O
979,Người ung thư cần protein nhiều nên ăn tôm không?,Người ung_thư cần protein nhiều nên ăn tôm không ?,O B-DISEASE O B-NUTRIENT O O O B-FOOD O O
980,Người ung thư cần protein nhiều nên ăn rau muống không?,Người ung_thư cần protein nhiều nên ăn rau_muống không ?,O B-DISEASE O B-NUTRIENT O O O B-FOOD O O
981,Bị dạ dày mất ngủ nên ăn gì?,Bị dạ_dày mất_ngủ nên ăn gì ?,O B-DISEASE B-SYMPTOM O O O O
982,Bị ung thư mất ngủ nên ăn gì?,Bị ung_thư mất_ngủ nên ăn gì ?,O B-DISEASE B-SYMPTOM O O O O
983,Bị tiểu đường sưng khớp nên ăn gì?,Bị tiểu_đường sưng_khớp nên ăn gì ?,O B-DISEASE B-SYMPTOM O O O O
984,Bị tiểu đường chuột rút nên ăn gì?,Bị tiểu_đường chuột_rút nên ăn gì ?,O B-DISEASE B-SYMPTOM O O O O
985,Táo giàu vitamin D tốt cho người bị loãng xương không?,táo giàu vitamin_D tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
986,Hạt chia giàu vitamin D tốt cho người bị loãng xương không?,hạt_chia giàu vitamin_D tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
987,Cà rốt giàu vitamin B12 tốt cho người bị loãng xương không?,Cà_rốt giàu vitamin_B12 tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
988,Cà rốt giàu magiê tốt cho người bị loãng xương không?,Cà_rốt giàu magiê tốt cho người bị loãng_xương không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
989,Cà rốt giàu vitamin D tốt cho người bị tim mạch không?,Cà_rốt giàu vitamin_D tốt cho người bị tim_mạch không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
990,Cà rốt giàu vitamin D tốt cho người bị ung thư không?,Cà_rốt giàu vitamin_D tốt cho người bị ung_thư không ?,B-FOOD O B-NUTRIENT O O O O B-DISEASE O O
991,Bị loãng xương chóng mặt nên bổ sung sắt từ thực phẩm nào?,Bị loãng_xương chóng_mặt nên bổ_sung sắt từ thực_phẩm nào ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O O
992,Bị ung thư chóng mặt nên bổ sung sắt từ thực phẩm nào?,Bị ung_thư chóng_mặt nên bổ_sung sắt từ thực_phẩm nào ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O O
993,Bị thiếu máu tiêu chảy nên bổ sung sắt từ thực phẩm nào?,Bị thiếu_máu tiêu_chảy nên bổ_sung sắt từ thực_phẩm nào ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O O
994,Bị thiếu máu buồn nôn nên bổ sung sắt từ thực phẩm nào?,Bị thiếu_máu buồn_nôn nên bổ_sung sắt từ thực_phẩm nào ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O O
995,Bị thiếu máu chóng mặt nên bổ sung folate từ thực phẩm nào?,Bị thiếu_máu chóng_mặt nên bổ_sung folate từ thực_phẩm nào ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O O
996,Bị thiếu máu chóng mặt nên bổ sung magiê từ thực phẩm nào?,Bị thiếu_máu chóng_mặt nên bổ_sung magiê từ thực_phẩm nào ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O O
997,Người bị dạ dày ăn óc chó có giảm chất béo không?,Người bị dạ_dày ăn óc_chó có giảm chất_béo không ?,O O B-DISEASE O B-FOOD O O B-NUTRIENT O O
998,Người bị béo phì ăn óc chó có giảm chất béo không?,Người bị béo_phì ăn óc_chó có giảm chất_béo không ?,O O B-DISEASE O B-FOOD O O B-NUTRIENT O O
999,Người bị gan nhiễm mỡ ăn cá ba sa có giảm chất béo không?,Người bị gan_nhiễm_mỡ ăn cá_ba_sa có giảm chất_béo không ?,O O B-DISEASE O B-FOOD O O B-NUTRIENT O O
1000,Người bị gan nhiễm mỡ ăn gạo lứt có giảm chất béo không?,Người bị gan_nhiễm_mỡ ăn gạo_lứt có giảm chất_béo không ?,O O B-DISEASE O B-FOOD O O B-NUTRIENT O O
1001,Người bị gan nhiễm mỡ ăn óc chó có giảm natri không?,Người bị gan_nhiễm_mỡ ăn óc_chó có giảm natri không ?,O O B-DISEASE O B-FOOD O O B-NUTRIENT O O
1002,Người bị gan nhiễm mỡ ăn óc chó có giảm tinh bột không?,Người bị gan_nhiễm_mỡ ăn óc_chó có giảm tinh_bột không ?,O O B-DISEASE O B-FOOD O O B-NUTRIENT O O
1003,Bị gan nhiễm mỡ uống nước mía có làm tăng acid uric không?,Bị gan_nhiễm_mỡ uống nước_mía có làm tăng acid_uric không ?,O B-DISEASE O B-FOOD O O O O O O
1004,Bị ung thư uống nước mía có làm tăng acid uric không?,Bị ung_thư uống nước_mía có làm tăng acid_uric không ?,O B-DISEASE O B-FOOD O O O O O O
1005,Bị gout uống tôm có làm tăng acid uric không?,Bị gout uống tôm có làm tăng acid_uric không ?,O B-DISEASE O B-FOOD O O O O O O
1006,Bị gout uống sữa chua có làm tăng acid uric không?,Bị gout uống sữa_chua có làm tăng acid_uric không ?,O B-DISEASE O B-FOOD O O O O O O
1007,Ăn yến mạch có làm tăng cholesterol cao không?,Ăn yến_mạch có làm tăng cholesterol_cao không ?,O B-FOOD O O O B-DISEASE O O
1008,Ăn chuối có làm tăng cholesterol cao không?,Ăn chuối có làm tăng cholesterol_cao không ?,O B-FOOD O O O B-DISEASE O O
1009,Ăn trứng gà có làm tăng dạ dày không?,Ăn trứng_gà có làm tăng dạ_dày không ?,O B-FOOD O O O B-DISEASE O O
1010,Ăn trứng gà có làm tăng gout không?,Ăn trứng_gà có làm tăng gout không ?,O B-FOOD O O O B-DISEASE O O
1011,Người bị gan nhiễm mỡ buồn nôn nên ăn gì?,Người bị gan_nhiễm_mỡ buồn_nôn nên ăn gì ?,O O B-DISEASE B-SYMPTOM O O O O
1012,Người bị béo phì buồn nôn nên ăn gì?,Người bị béo_phì buồn_nôn nên ăn gì ?,O O B-DISEASE B-SYMPTOM O O O O
1013,Người bị tiểu đường chóng mặt nên ăn gì?,Người bị tiểu_đường chóng_mặt nên ăn gì ?,O O B-DISEASE B-SYMPTOM O O O O
1014,Người bị tiểu đường đau bụng nên ăn gì?,Người bị tiểu_đường đau_bụng nên ăn gì ?,O O B-DISEASE B-SYMPTOM O O O O
1015,Táo giàu tinh bột người tiểu đường ăn được không?,táo giàu tinh_bột người tiểu_đường ăn được không ?,B-FOOD O B-NUTRIENT O B-DISEASE O O O O
1016,Rau chân vịt giàu tinh bột người tiểu đường ăn được không?,rau_chân_vịt giàu tinh_bột người tiểu_đường ăn được không ?,B-FOOD O B-NUTRIENT O B-DISEASE O O O O
1017,Khoai lang giàu magiê người tiểu đường ăn được không?,Khoai_lang giàu magiê người tiểu_đường ăn được không ?,B-FOOD O B-NUTRIENT O B-DISEASE O O O O
1018,Khoai lang giàu canxi người tiểu đường ăn được không?,Khoai_lang giàu canxi người tiểu_đường ăn được không ?,B-FOOD O B-NUTRIENT O B-DISEASE O O O O
1019,Khoai lang giàu tinh bột người cholesterol cao ăn được không?,Khoai_lang giàu tinh_bột người cholesterol_cao ăn được không ?,B-FOOD O B-NUTRIENT O B-DISEASE O O O O
1020,Khoai lang giàu tinh bột người tim mạch ăn được không?,Khoai_lang giàu tinh_bột người tim_mạch ăn được không ?,B-FOOD O B-NUTRIENT O B-DISEASE O O O O
1021,Người bị béo phì nên ăn chuối giàu kali không?,Người bị béo_phì nên ăn chuối giàu kali không ?,O O B-DISEASE O O B-FOOD O B-NUTRIENT O O
1022,Người bị thiếu máu nên ăn chuối giàu kali không?,Người bị thiếu_máu nên ăn chuối giàu kali không ?,O O B-DISEASE O O B-FOOD O B-NUTRIENT O O
1023,Người bị huyết áp cao nên ăn dưa hấu giàu kali không?,Người bị huyết_áp_cao nên ăn dưa_hấu giàu kali không ?,O O B-DISEASE O O B-FOOD O B-NUTRIENT O O
1024,Người bị huyết áp cao nên ăn đậu phụ giàu kali không?,Người bị huyết_áp_cao nên ăn đậu_phụ giàu kali không ?,O O B-DISEASE O O B-FOOD O B-NUTRIENT O O
1025,Người bị huyết áp cao nên ăn chuối giàu folate không?,Người bị huyết_áp_cao nên ăn chuối giàu folate không ?,O O B-DISEASE O O B-FOOD O B-NUTRIENT O O
1026,Người bị huyết áp cao nên ăn chuối giàu vitamin C không?,Người bị huyết_áp_cao nên ăn chuối giàu vitamin_C không ?,O O B-DISEASE O O B-FOOD O B-NUTRIENT O O
1027,Bị gout mệt mỏi nên bổ sung vitamin D từ đâu?,Bị gout mệt_mỏi nên bổ_sung vitamin_D từ đâu ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O
1028,Bị thiếu máu mệt mỏi nên bổ sung vitamin D từ đâu?,Bị thiếu_máu mệt_mỏi nên bổ_sung vitamin_D từ đâu ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O
1029,Bị loãng xương khó tiêu nên bổ sung vitamin D từ đâu?,Bị loãng_xương khó_tiêu nên bổ_sung vitamin_D từ đâu ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O
1030,Bị loãng xương đau bụng nên bổ sung vitamin D từ đâu?,Bị loãng_xương đau_bụng nên bổ_sung vitamin_D từ đâu ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O
1031,Bị loãng xương mệt mỏi nên bổ sung kẽm từ đâu?,Bị loãng_xương mệt_mỏi nên bổ_sung kẽm từ đâu ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O
1032,Bị loãng xương mệt mỏi nên bổ sung magiê từ đâu?,Bị loãng_xương mệt_mỏi nên bổ_sung magiê từ đâu ?,O B-DISEASE B-SYMPTOM O O B-NUTRIENT O O O
1033,Người bị loãng xương ăn tôm giàu protein có ổn không?,Người bị loãng_xương ăn tôm giàu protein có ổn không ?,O O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
1034,Người bị tiểu đường ăn tôm giàu protein có ổn không?,Người bị tiểu_đường ăn tôm giàu protein có ổn không ?,O O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
1035,Người bị tim mạch ăn khoai lang giàu protein có ổn không?,Người bị tim_mạch ăn khoai_lang giàu protein có ổn không ?,O O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
1036,Người bị tim mạch ăn hạt hạnh nhân giàu protein có ổn không?,Người bị tim_mạch ăn hạt_hạnh_nhân giàu protein có ổn không ?,O O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
1037,Người bị tim mạch ăn tôm giàu chất xơ có ổn không?,Người bị tim_mạch ăn tôm giàu chất_xơ có ổn không ?,O O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
1038,Người bị tim mạch ăn tôm giàu natri có ổn không?,Người bị tim_mạch ăn tôm giàu natri có ổn không ?,O O B-DISEASE O B-FOOD O B-NUTRIENT O O O O
1039,Bị tim mạch đau khớp nên ăn thực phẩm gì để giảm cân?,Bị tim_mạch đau_khớp nên ăn thực_phẩm gì để giảm_cân ?,O B-DISEASE B-SYMPTOM O O O O O O O
1040,Bị tiểu đường đau khớp nên ăn thực phẩm gì để giảm cân?,Bị tiểu_đường đau_khớp nên ăn thực_phẩm gì để giảm_cân ?,O B-DISEASE B-SYMPTOM O O O O O O O
1041,Bị béo phì ợ nóng nên ăn thực phẩm gì để giảm cân?,Bị béo_phì ợ_nóng nên ăn thực_phẩm gì để giảm_cân ?,O B-DISEASE B-SYMPTOM O O O O O O O
1042,Bị béo phì chuột rút nên ăn thực phẩm gì để giảm cân?,Bị béo_phì chuột_rút nên ăn thực_phẩm gì để giảm_cân ?,O B-DISEASE B-SYMPTOM O O O O O O O
1043,Người bị loãng xương không tiêu nên ăn gạo lứt không?,Người bị loãng_xương không_tiêu nên ăn gạo_lứt không ?,O O B-DISEASE B-SYMPTOM O O B-FOOD O O
